score,comment
10.0,"커플에게 좀 더 어울리겠지만 숙소가 넘 예뻐서 다 지어지기도 전부터 예약하고 기다렸어요.  어린아이 둘과 함께 3박 지내는 동안 불편함 없이 넘 좋았어요. 위치는 이미 한적한 곳인거 알았고요  그래서 덕분에 잘 다니지 않았던 남원쪽을 구경할 수 있었습니다. 간단한 취사가 가능해서 아이들과 아침밥 먹고 출발할 수 있었고 특히 최신 얼음냉온정수기가 맘에 쏙 들어서 저희 집도 제품 바꾸려고요 ㅎㅎ
커플화이트 룸이라 커플이 여행할때 딱!! 일 것 같고요 4인 가족도 추가 침구 있으면 지내기 괜찮습니다. 저희가 지내는 동안에는 태풍소식이 있어서 파도도 높게 치고 흐린날이 많았는데 맑은날엔 야외 수영장도 넘 좋은것 같아요! 꼭 다시 오려고요!"
10.0,전체적으로 깔끔하고 요즘 인스타 감성에 딱인 곳이에요 기대하지 않았는데 의외로 진짜 좋았어요
10.0,사장님 친절하시고 뷰도 좋고 숙소 인테리어  청결도 모두 완벽했어요 이번 여행 숙소 5개 중에 제일 좋았어요! 다음 또 제주 오게 되면 이용할게요 ㅎㅎ
10.0,"숙소 후기만 보고 2박을 결정했는데
정말 잘한선택이었ㅇㅓ요!
뱃속에 아가랑 좋은 뷰 보면서 따뜻하게 쉬다왔습니다~
다음 제주여행때도 또 방문하고 싶은곳이에요 :-)
"
10.0,아래 카페도 맛있고 뷰가 너무 좋고 깔끔하고 친절합니다
9.6,욕조도 실외수영장도 정말 잘 썼어요. 뷰가 미쳤고  주변에 크게 뭐가 많지는 않지만 약간만 걸으면 편의점  적당한 음식점  딱새우 파는 집  카페도 있어요. 바다 따라 산책하기도 굿!
9.2,욕조에서 바다가 보이는 뷰에 정원과 옥상에서도 누워서 바다를 보며 쉴 수 있는 깔끔한 숙소입니다. 통화와 데이터가 잘 터지진 않지만 숙소 와이파이를 연결하면 해결되었습니다.
9.2,주변이 한적하고 조용하고 근처 편의점도 가까워서 좋았어요 재방문의향있어요!!
8.8,"바다가 바로앞이라 멋졌어요!
블라인드 치지않으면 밖에서 너무 잘보이는거만 빼면 모든게 완벽했습니다! 또갈거예요!!"
8.0,일출과 일몰 뷰 맛집이예요
7.6,나쁘지않음..
9.6,여행 중 날씨가 좋지않아 컨디션이 다운돼있었어요. 하지만 본 숙소에서 지내는 동안 앞의 광활한 바다 풍경에 사르르  아늑하고 깔끔한 집구조와 인테리어에 사르르.. 힐링하고 왔어요! 미소를 머금게 하는 따뜻한 말을 건네주신 호스트님 감사합니다! 
9.2,숙소 내부도 깔끔하고 예쁘고 뷰가 진짜 다함 숙소 위치나 주변에 뭐가 없단건 이미 많이 검색해보고 가서 괜찮았고 여름에 다시 한 번 오고싶음 너무 좋아요
10.0,"시설 너무 깔끔하여 만족스러웠습니다.
다만 아쉬움도 있었는데요 화장실 변기칸 부붖의 위가 뚫려있어 조금 민망한 상황이 연출된 점은 개선되면 좋을 것 같습니다
또 침대 쪽 커튼이 블라인드 식이어서 밖에서 보이진 않을까 걱정된 부분도 있었습니다(옆 건물은 침대쪽이 커튼  거실쪽이 블라인드)
다른 부분은 너무 만족스러워서 좋았습니다!"
10.0,깨끗하고 앞에 뷰 너무 좋고 바다도 조용하구 좋았어요
