score,comment
10.0,"위치가 좋아서 숙박 전 후로 이동하기에 편해요
가격도 괜찮고
직원분 너무 친절하셨어요
이번에 체크인을 늦게해서 잠만 자고 나온게 아쉽네요ㅠㅠ 또 가게 된다면 조식도 먹어보고 수영장이나 다른 시설도 이용해보고 싶어요!"
10.0,"직원분들 응대도 친절하고 객실도 깨끗하고 정수기가 구비되어 있어서 좋았어요 
조식 신청해서 먹었는데 종류도 많고 맛도 맛있어서 다음에 또오고 싶어졌어요"
10.0,친절한 직원  멋진 테라스  깔끔한 시설 재방문이었는데 또다시 정말 만족한 최고의 숙소에요! 아버지와 아기의 약 봉투를 정신이없어 실수로 호텔 쓰레기통에 버렸는데  남자 직원분께서 본인의 원래 업무로도 충분히 바쁘신 상황에서 쓰레기 봉투를 전부 뒤져 약봉투를 찾아 주셨습니다. 도움을 주신 남자 직원분의 선의에 다시 한번 깊은 감사의 말씀을 드립니다. 덕분에 아기와 함께한 첫 가족여행을 성공리에 마칠 수 있었어요. 감사합니다 !!
10.0,프리미어스위트 객실의 편의 사항은 너무나 훌륭했습니다. 첫 방문부터 머무는 내내 최고의 서비스와 편안한 객실은 앞으로도 방문하고싶은 마음을 갖게 했습니다. 제주에 다시 머문다면 스위트호텔과 이 룸을 다시 예약할 예정입니다. 
10.0,중문 단지내 5성급 호텔 중 하나. 유럽 감성의 부띠끄 호텔 느낌 물씬. 테라스가 있는 1층이 이 호텔을 가야할 이유 중 하나. 교원 그룹이 인수해서 그런지 정수기와 비데의 상태가 최상. 다음번에도 제주에 간다면 꼭 다시 이용할 예정. 
10.0,깔끔한 시설부터 테라스 뷰까지 재방문이었는데 역시나 만족입니다 :) 약봉투를 실수로 호텔 쓰레기통에 버렸는데 다시 찾을수가 없어서 상심하고 있었어요. 그런데 이 사실을 아신 직원분께서 쓰레기통을 전부 뒤져 아기와 아버지의 약봉투를 찾아 주셨어요. 본인 원래 업무로도 충분히 너무 바쁘셨을텐데 남자 직원분께서 베풀어주신  선의에 정말 큰 감동을 했습니다. 다시 한번 깊은 감사인사를 드립니다. 감사합니다 ! 
10.0,"중문이라 위치도 좋고 직원들도 친절하셨어요. 
침대 있지만 마루 바닥이라 바닥 난방 따로 되는 것도 좋았구요 (아기 바닥에서 이불깔고 재우기에 완벽! 한실 온돌룸 아니라도 전혀 아쉽지
않았어요) 가습기 요청드렸는데 깔끔한 가습기로 물까지 채워서 갖다주셨어요.
전자레인지 이용할 수 있는 곳 있어서 호텔이지만 아기 이유식 데워 먹이기도 좋았구요. 
+ 신라호텔 파크뷰 저녁 뷔페 다녀왔는데... 그것도 너무 가까워서 좋았네요. "
9.6,"위치좋고 호텔 컨디션 좋습니다
다만 편의시설은 차를 타고 나가야 할만큼 멀고 편의점 외 뭐가 없습니다
조식또한 가격대비 조금 아쉽습니다
이외 다 좋아요 호텔 조용하고 수영장 이쁘고 직원분들 친절합니다"
10.0,주위에 관광하기 좋은곳도 많고 쉬면서 산책하기 좋은곳도 많아서  휴식과 관광이 모두 가능하고 정말 필요한 물품이 알맞게 비치되어있고 무엇보다 직원들이 모두 친절하셔서 좋았습니다 다음에도 꼬옥 오고싶어요
10.0,1층에 들어설 때부터 일반 호텔들하곤 좀 다르게 여성 직원분들께서 친절히 안내해 주셨고 룸에 들어서니 어둡게 깔린 방이 되게 고급스럽다는 느낌이 들었네요. 모두 깔끔  깨끗했고 침대도 큼직  푹신해서 굉장히 만족스러웠습니다. 밤에는 근처 신라  롯데호텔이 근처라 이쪽 산책로 둘러보는 재미가 좋았어요. 관광단지 내에 차 타고 조금만 가면 올리브영  마트  음식점들도 많고 단지 나가서도 중문에 소문난 맛집 있어서 찾아가기 좋았어요. 다음에 또 이용할 의향 200%입니다.
10.0,실외수영장은 사진빨이지만 중문해수욕장이랑도 가깝고 좋아요! 근처 올레길도 정말 좋고 천지연폭포도 좋아요.
10.0,중문관광단지안에서 괜찮은 가격에 가성비 5성급 호텔에 묵을수 있어 좋았습니다. 수건과 어메니티가 넉넉했고 연박하는 동안 룸 청소도 깔끔하게 해주셔서 좋았습니다. 다만 5성급이라기엔 조식이 다소 부실하여 실망했습니다. 제주시에서 묵었더 비지니스호텔과도 음식 종류나 퀄리티가 비교가 되었는데 그부분에서 보완이 된다면 더 좋을것같습니다.
10.0,코너 컨셉룸이었는데  4명이 묶기에 적당했습니다.  숙소 위치가 좋았고  깨끗했고 룸서비스도 훌륭했습니다. 추천합니다.
10.0,3-4명을 위한 방이 생각보다 많고 체크인  체크아웃도 기계로 진행하지만 어렵지 않은곳입니다. 중문 호텔단지내에 있어 도보이동  택시이동  자동차 이동이 다 좋습니다. 호텔 내에 나는 향기가 굉장히 기분이 좋으며  규모는 작지만 갖출 건 다 갖추어 있어서 좋습니다. 우선 가격면에서도 매우 만족입니다.
10.0,호텔 뷰가 있는 그런 곳은 아니지만 청결하고 직원 분들도 매우 친절하시고 방음도 되게 잘되는 것 같아요~ 요즘 호텔들 다 옆 방 소리 잘 들리는데 여긴 조용하네요 만족합니다
10.0,"한라산 뷰도 너무 좋았구요 호텔 자체가 분위기 있어요! 
특히나 룸 컨디션도 만족스럽고  연박했을때 따로 전화까지 주셔서 필요한 부분 다 준비해주시고 매우 친절하셨습니다 다음에 또 이용할게요 ㅎㅎ"
9.6,제주도에 여러번 놀러오면서 중문이라는곳에는 이번 첫 방문을 하였는데 해당 호텔에 처음으로 갔는데 특히 테라스 있는 방을하니 봄가을에 테라스에서 저녁  아침에 시간 보낸게 젤 좋았어요
