score,comment
10.0,"긴 연휴동안 무얼할까 고민하다가 워터파크와 놀이동산이 있는 랜딩관으로 예약을 했습니다. 
워터파크 이용할 예정이라 수영장 사용은 안해도 될 것 같아서 수영장이 없는 랜딩관으로 예약했는데 탁월한 선택이었어요. 
티비가 스마트티비가 아니어서 아쉽긴 했지만 티비볼 시간도 많이 없어서 그럭저럭 괜찮았답니다.
랜딩관 직원들 모두 친절하고 정보력도 좋으셔서 아주 편안한 여행이 되었답니다. 도어맨부터 프론트  하우스키퍼까지 모두 웃으며 일할 수 있는 호텔이 얼마나 될까하는 생각이 들었어요.  좋은 추억을 만들어주셔서 감사합니다 ^^ 
"
10.0,"신화월드 4번째 투숙이네요. 
매번 느끼는 거지만 직원들 너무 친절하세요. 체크 인 할때도 아이 있는것 보시고 알아서 등급 업 해주시고 불편사항 없는지 세세히 살피시는 모습이 너무 좋았습니다. "
9.6,"우리가 도착했을 때 문 앞에서 아름다운 친절한 스태프가 우리를 맞이해주었습니다. 그곳은 매우 깨끗하고 건물 안에는 쇼핑 스토어와 음식점이 있습니다. 만약 더 많은 날을 머물렀다면 거기서 피부 관리를 받고 싶었을 것입니다.

제이콥에게 특별한 감사를 전합니다. 그는 방을 업그레이드해주었고 제주를 방문하는 방법에 대한 조언과 정보를 전해주면서 전문적이고 친절했습니다.

나는 다음에 제주를 방문할 때 여기에 머무를 것이라는 의심이 없습니다."
10.0,"신화월드 시설도 깨끗하고 침대도 편안해요  신화월드 내에 테마파크 워터파크 쇼핑 볼링 음식 없는게 없습니다 신화월드안에서 모든걸 다 해결할수 있습니다 야간에는 금토일 주말에 불꽃쇼도 볼수 있고 완전 강추입니다 
신화월드 위치는 공항에서 40분정도 걸리고 애월은 차로 30분정도면 갑니다 근처 먹거리 볼거리 많습니다 오설록뮤지엄 차로 10분정도   용머리 해안 30분이내에 다 갈수 있습니다 가족 친구 연인 모두 만족 하실거에요 제주도 갈때마다 매번 숙박을 하는데 너무좋아요 가격도 많이 안비싸고 딱이에요 강추강추"
10.0,"제주 살지만  워낙 도민들에게도 입소문 자자하기에 휴가를 맞아 이용했습니다. 하루 전날 급하게 예약하느라 아고다랑 신화월드 예약부서에 문의 많이 했는데 결국 최선을 다해 제 요구사항에 맞춰주려 노력하시고 특히 너무너무 친절하시더라고요. 
그리고 숙소  워터파크  테마파크  식사  쇼핑까지 한 곳 에서 무리없이 즐길 수 있어서 너무 잘 지내다 왔습니다."
10.0,공홈보다 저렴하게 좋은방을 구입해서 기쁘고 부모님과의 여행에 플러스가 되어서 좋았습니다. 특히 호텔 기본 서비스가 무척이나 만족하였고 직원들의 친절함에 감동받고 불편함없이 이용할 수 있도록 협조해주셔서 고마웠습니다. 다시 제주를 들르면 꼭 이용하고 싶은 호텔입니다. 호캉스하기엔 더더욱 좋은 곳이라 봅니다.^^ 햇반 데워주시고 뜨겁다고 쇼핑백에 담아주신 여직원분에게 감동해 부모님이 좋아하셨습니다. 마실물이 부족해서 부탁을 하였더니 부탁도 상냥하게 들어주셨습니다. 넘 행복한 제주여행이였습니다.
10.0,"첫째 체크인을 도와주시는 직원분의 친절에 감동했음. 객실 위치 정하는데 처음 방문이란 말에 장단점 설명과 함께 고객의 니즈에 맞춰 배정을 해준다는 느낌은 친절한 미소까지 더해져 감사했습니다.
6층에 배정 받았는데 바다까지 보이는 뷰는 기대 이상이라 그 이후론 다 좋았어요. 무엇보다 객실 상태도 정리가 잘 되어있어 쾌적하게 잘 보내고 왔고 쇼핑도 할수 있어 좋았네요. 재방문 계획입니다."
10.0,직원들이 엄청 친절하고 먼저 다가와서 인사하고 위치 설명해주고 다른 호텔과는 다른 친절이 좋았어요. 부대시설도 워낙 많아서 호텔내에서 지내기도 좋았고 근처에 있는 유명 관광지도 다니기 좋았어요    
10.0,지난주 제주로 가족여행을 가서 신화월드에서 숙박을했다 직원들도 친절하고 깨끗하고 시설이 이름에 걸맞게 크고 좋았다.수영장시설도 좋고 조식맛도 좋고 넓으공간이어서 쾌적하고 여유롭게 식사를 했다. 그외 식당가  쇼핑몰  놀이동산등 주변이 놀거리  볼거리   먹거리가 같이 있어서 참 편리했다. 다음 제주를 갈때도 신화월드 랜딩관으로 가야겧다. 즐거운 제주여행이었다.
10.0,"깨끗하고 직원분들이 너무 친절하셔서 좋았습니다~
늦게 도착해서 다 둘러 보지 못해서 너무 아쉬웠습니다ㅠ 나중에 또 한번 가서 제대로 휴식을 만킥하고 싶네요~ 볼거리와 음식 등 너무 다양하게 많아서 좋았어요~"
9.6,"랜딩관 숙박으로 워터파크와 호텔 수영장이 미포함이었어요. 물놀이 계획이라면 신화관으로 예약하셔야 합니다. 

그래도 테마파크 입장권 받아서 놀이기구도 (의외로 엄청 재밋게) 타고  식당가에 ‘풍로’ 생겼길래 나가지 않고 맛있는 고기도 먹었어요. 모든게 내부에 있어서 편리하고 좋았습니다.

체크인 할때 번호 입력해 놨다 톡받으면 가서 쳌 하고 체크아웃 할때도 빠른 쳌으로 프로세스가 잘 되어 있습니다. 

숙소는 공간도 넓고 깨끗했어요. 평소에 숙소 이용시 청결을 엄청 따지는데 여긴 머리카락 한 올 없이 잘 정리되어 있더라구요. 다만  파리 한 마리가 들어와 있길래 냉큼 잡음. "
10.0,친척들이랑 부모님이랑 다 같이 보내드렸었는데 직원분들이 너무 친절하고 조식이 최고였다고 극찬하시네요
10.0,내부에서 거의 대부분 해결가능한 복합리조트이며 시설도 깔끔하고 직원들도 친절하고 유능함. 다만 체크인시 대기시간이 1시간 이상 소요되어 하이시즌에는 비추천. 
10.0,"엄마 모시고 단둘이 떠난 여행인데 숙소가 너무 좋아서 숙소에 더 머물게 되더라구용
조식이 정말 알차고 과일이 정말 하나하나 꿀과일이에요 참고로 칫솔치약은 구비되어있지 않으니 꼭 챙겨가시길 바랍니다 불꽃놀이는 텀이 길어서 웃겼어요 주변에 오설록이나 우주박물관 있어서 갈 곳도 많아서 좋네용"
10.0,"워터파크 때문에 숙소를 여기로 정했는데 신화관 자리가 없어 랜딩관으로 예매했어요.  물놀이가 주라면 꼭 신화관으로 예약하시고 투숙체크인 하니 놀이공원 빅3 인당 주셔서 나름 좋았어요.
저녁 불꽃놀이도.......크게 와 는 아니지만 여행가서 이것저것 다 한 것같아 좋아요.
위치가 주위에 체험관이나  중문이랑 가까워 잠깐 다녀오기 좋아요."
10.0,호텔 자체도 고급스럽고 리조트 형식으로 되어 있어서 구경하거나 둘러볼 거리가 많아요 직원분들도 친절하시고  가족이나 지인이 간다면 늘 추천하는 호텔입니다 뷔페 레스토랑 퀄리티도 좋고 객실 자체의 뷰도 좋아요 리조트 호캉스 좋아하시는 분들은 꼭 가봐야 할 곳 입니다 유아 동반 가족에게도 아이들이 즐길 거리가 많아서 가기 좋은 곳이에요
10.0,깔끔하고 예쁜 시설과 환경이 너무 좋았습니다 저희는 랜딩관을 이용했고 자후에는 신화관 메리어트호텔까지 이용할 계획입니다 친절한 안내도 좋았습니다 딱 하나 말씀 드리고 싶은건 조식하는 자리가 좀 추워서 일행중 한명이 체해서 약을 먹고 말았다는....겨울이는 간절기에는 보온에 조금만 더 신경을 써 주셨으면 합니다 전체적으론 너무 좋은 시간이었습니다
10.0,커넥팅 룸이어서 일행이 통행하기 좋은 구조였습니다. 4명 숙박비로도 가성비가 매우 좋은 편이었습니다 👍 한가지 아쉬운 점은 변기물내릴때마다 소리가 너무 크고 길어 수리가 필요해 보였습니다. 이 점을 제외하고는 몹시 좋은 숙소였습니다.
10.0,객실 이용전에 가습기나 베이비가드를 요청했었는데. 잘 챙겨 주셨습니다. 객실상태는 매우 깨끗하며. 쾌적했습니다. 다음에도 또이용할 생각 입니다.
10.0,규모감에 놀랬고 방도 커서 좋았다. 조금 복잡한 감과 리조트와 호텔의 중간이었으나 나쁘지 않았다. 코지함은 부족하지만 깔끔하고 편했다.
10.0,"특가 이벤트도 자주하고
가격에 비해 룸 컨디션이나 규모도 괜찮다고 생각됩니다.
특히 여름에 수영장 합쳐진 패키지 꼭 추천해요
사실 수영장이 매리트가 큽니다 
리조트 내에도 이용할 것들이 많고 
직원들도 친절하답니다 "
10.0,그냥 불편한거 없이 너무나 좋은 시설. 아쉬울때 호텔 안에 있는 코노가기도 참 좋음.  시설 안에 있는 음식점들이 아쉬움. 좀 더 인지도 있는 메뉴나 브랜드로 바뀌면 더 좋을듯
10.0,"부대시설이 최고입니다
리조트내에서 쇼핑센터 음식점
워터파크 영화관 놀이동산
등  없는게 없고 직원분들이 매우친절하며 
쾌적하고 깨끗합니다"
