score,comment,afinn_score,vader_score,k10
10.0,"I visited Jeju for about 4 days every month, but I only stay in the hotel.I used it many times, but I often found it in the previous Poonglim.
I think the big advantage of this resort is location.It's located in the middle of Seogwipo, so I think it's a very good location for Jeju Island.E -Mart is also close to it.The resort is not noisy and you can take a walk.
I was glad that I contacted you a little different from the room you booked.It seemed to be partial remodeling neatly, so I enjoyed two nights with my family comfortably.Bedding was also good.
The downside is that the TV is not in the living room and the family is in the room, but the family was a bit uncomfortable, but I traveled to the TV.I would like to eat a school trip separately.
Kensington Resort has played a big role in making a good memory for a long time on a family trip.
I hope that the big brother's health will not be worse, and I hope you can visit with your mother again.",19.0,0.9921,7
10.0,"I stayed for an adult for 2 nights and stayed at a special price and stayed in a lucky room.
At this price, the hotel resort that I had traveled to this price seemed to have the best facility and room condition.
 The furniture was all new, so it was clean and the interior was just moderately luxurious, comfortable and comfortable.
The garden view was pretty, but the Mountain View was so cool in the room.
All of their parents in their 60s were satisfied, so they didn't go elsewhere and stayed in the hostel.It's hard to move around with children, but I wanted to be better if I had a pretty garden in the resort and the sea view and Olle trail.
In the accommodation, it was best to have a body view in the Halla Mountain View Garden.
And the staff are really kind. I remembered the faces of the guests.I didn't take a good hotel like that, but I was very careful.
The suemn, who was around the world, stayed comfortably with his family thanks to the male staff's desk.",34.0,0.9939,3
10.0,"In front of Seogwipo Kensington Resort, there is a bus stop and an airport bus stop ^^!
It's easy to go around without a car.
The resort's sea scenery and convenience store.Laundry room.The kindness of the staff is !! Bravo ~~ Clap clap!
Seogwipo tourist attractions were easy to travel because various buses were visited and talked with Jeju residents.
It is important to note that to ride the bus actively shakes your hands when the bus is approaching ^^ ~ (the bus is just passing by) The drivers are tired of tourists from various countries on the bus.Shhh!The traffic system is different from the land, so I hope you will feel the color ~ Thank you Agoda!Thank you so much than I thought.",10.0,0.9414,0
10.0,"4 nights and 5 days, I really enjoy and comfortably.

The Cocomong Lounge Ashley Queen's 24 -hour convenience store entertainment room was fully used.

When checking in, the rooms were kindly informed of various structures such as bed rooms, bed rooms, and ondol rooms, and also provided bedding for children sleeping in the living room.

I was Premier Plus/Mountain View, and I liked both clean and clean facilities and palm trees and Hallasan views that can only be found in Jeju Island.Coffee machine microwave coffees are available and dry toileters were easy to use.There is plenty of towels and exchanged when you put it in front of the shoe rack every morning.

The resort is located in the south, so I toured the south west of the day east of the day.
I was satisfied with the price and facilities of the whole family.
The next time I come to Jeju Island, I am a doctor of return 👍",13.0,0.9763,2
10.0,"Since I saw all the staff's sincere kindness, I would like to see that Kim Min -kyu, a kind manager, shows me an example.
 The renewed room has excellent interior, bed mattresses and bedding, so they have been able to relax and sleep for two days.The microwave capsule coffee machine cutlery cup wine glass dishes were neatly organized.
 Jeju ale and bottled water Jeju cup ramen were also provided once by default, but they were all delicious. ^^
The pool also had 4 5 people in safety personnel, so it was also good to play with young children.
The resort was avoiding the use of disposable products from convenience stores to facilities inside, so we were practicing to protect the Jeju environment.
On a rainy day, I was able to make a lot of weight around the resort, and the restaurant called Jeju Bear House around the resort was a walking street, and there were many other restaurants that could be delivered.
If you are a family trip, Kensington Resort Seogwipo is completely recommended.",20.0,0.9817,7
10.0,"I used 3 nights in Kensington Resort Renewal Room!On the last day, there were many questions such as whether other families could be enrolled and the maximum number of bedding can be used for the maximum number of beds, and the amount of money cleaning service was available.It has become a pleasant trip ^^
The exterior was old, but the year was felt, but the management was well managed, and the room was clean, and the room was renewed and the same was the same as the picture.It smelled and I asked for a replacement at the front of the front and immediately took action.
The lobby is very clean and the garden is really good. My parents enjoyed walking every morning!
The location is also a Jungmun side, so there aren't many restaurants around.
I don't think I used it at a cheaper holiday, but I was satisfied in many ways, so I'm going to return to Jeju next to Jeju.Thank you again!",14.0,0.9837,1
10.0,"I had to sleep with my children in a hurry, but I think I'm in the best place in Seogwipo.
I always take care of the accommodation and always care about it, but I am satisfied with 200 %!
It's called an old room, but it's clean and well managed at all!
Not to say that breakfast is Ashley, but it ends with the scenery ^^
(Please apply and eat!)
The sauna was open for the time of the opening period, so there weren't many people, but it was good because it was a new product.
I will go to Seogwipo store unconditionally on the next trip!
Oh, there is a corner that sells specialty products in Jeju Island at the corner of the lobby.
Don't go to Olle Market and live here
(It's cheaper than the market.",13.0,0.9855,7
10.0,"I had a swimming pool and a family accommodation, but I felt like I found a pearl in the mud.
The facilities were cleaner than I thought, and the staff were friendly
Although it wasn't a sea view, I upgraded to the 5th family room so it made me feel good from the start of my trip.Ashley Queen was in the basement, so I paid money and had breakfast.There were few kinds, but it was delicious.The height of the pool was also divided into 1.5/1.2/1.0 depth, and it was good to play with confidence because there were many safety personnel.There are many types of pool snack bars, and it was optimized to bring kids with expensive hotels.Now, when I come to Jeju Island, I plan to use it next time.Recommended !!!",20.0,0.9877,4
10.0,"To be older and free, it is evidence that you are getting a lot of help and consideration around me.
Seogwipo Kensington, who always wanted to stay, is like a treasure that he learned while walking with his friends.
Seogwipo Kensington Resort, who sometimes stayed as an acquaintance Chans when he came to Jeju Island.
Finally, the day I decided to be with my friend
I was so happy ~
Jeju Island has too many accommodations, but my friend is the first one to ride in Jeju, so I felt Jeju and my legs hurt, so I could walk around the hostel. Sometimes I had to solve the food around.
If you walk down a little walk down the road, it's sweet.It's perfect for middle -aged us ~
And Ashley's meal in Kensington was as comfortable as I found a shelter in my heart.
The friend's kindness, which was treated like a family when I couldn't finish the schedule due to personal circumstances, shook my heart, and I would like to keep my heart as an unforgettable memory.""If I have something to help, please tell me,"" I would like to help you. ""
It was not so inconvenient to be remodeled, so it was not very inconvenient to schedule.
Thank you Seogwipo Kensington Resort ~ ^^",30.0,0.995,7
10.0,"I used a renewed room for 3 nights
Good room condition and ocean view
My parents didn't have a good leg, so I enjoyed the walking course in the resort instead of Olle trail.
It was good to be able to get a 20% discount while paying for Ashley breakfast.
Thank you for the friendly staff",15.0,0.8116,3
10.0,"I went to my parents.My parents always enjoy the pension -oriented accommodation when traveling.First, it's not a hotel, but the service satisfaction was good.And in the morning and evening, my parents walked around the resort and it was so good.However, Kensington will often go with a child, but there is a small desire you want to have an ondol room in the renewed room.The staff are very kind.I will return to the swimming pool next summer.",12.0,0.8735,4
