score,comment,afinn_score,vader_score,cluster
10.0,"Best sea view room.Friendly staff.The breakfast buffet is worth eating.The garden in front of the hotel is wide and well -organized and good for walking.Wide parking lot.600 airport bus terminal and starting point.The floor of the room is rug.Not the latest facility.The eastern sea view room has a large outdoor unit noise.No convenience store.In May, the rooms are a bit noisy at night because of high school students who traveled to land on land.",8.0,0.8555,9
10.0,"I always like the view ~ This time I visited Yonsei's new mother and was uncomfortable, so I suddenly added a room and asked for the same floor.It was great to be kindly at the entrance.I will visit again ~",3.0,0.802,8
10.0,"It looks like an old hotel, but the staff are so friendly, there are many parking spaces, and the lodging is remodeled.",4.0,0.8138,2
10.0,"I went to my parents -in -law, but it's been a long time, but it's been known as a good hotel.He wanted to come before, but he liked it.The garden was pretty in front of you, so I walked together and took pictures.The sea view is also pretty and good.It was a large hotel, so I didn't feel like it was good and had a lot of breakfast and good breakfast.Next time, I'm going to go with my parents.",18.0,0.9712,4
10.0,"The price was fine and the breakfast was good and the staff were kind.The location is in a good place, so it's better.",12.0,0.8683,4
10.0,"1. Most of the guests are elderly people-> So quiet
2. Older aging compared to the same 5 -star hotel-> The sink height is too low or the interior has stopped in the 80s
3. You can sleep well enough to wonder where the mattress is
4. Landscaping King King .. You have to take a walk to see the landscaping even if you take a look
5. The breakfast feels like you have made one by one without retort.Not irritating.
6. As the year is old, employees are veteran.",-2.0,0.4731,7
10.0,"The location is good like a historical hotel, so the surrounding landscape
It is exhausted
Breakfast is also satisfactory for the price
The facilities are a bit old, but the cleaning is good enough to offset this part and the staff are relatively kind.
I recommend",10.0,0.9371,2
10.0,"I wanted to rest comfortably in a quiet and quiet place without a unit.For a long time, all of the well -managed gardens and various birds were good and wide trails.The hotel room is getting dried easily, but it was so good that it was not dried even after staying for two days.",8.0,0.8381,3
10.0,"My favorite hotel.It's just a neat and peaceful place than many hotels with colorful and diverse service facilities, so it's my favorite place.I stopped by last year and stopped this time.If you come back to Jeju in April, I want to stay for a few days if you only allow time.One thing that's unfortunate is that the sound of the refrigerator is quite annoying and the neighboring room is very good!Ah, the toothbrush is on sale.",7.0,0.7095,3
10.0,The view is perfect and I used the indoor pool and the sauna well.Breakfast is also delicious.It's a good place to move around Jungmun.I really recommend it.I plan to use it again next time.,11.0,0.8553,2
