score,comment,afinn_score,vader_score
10.0,"There are already many other guests.This is a beautiful new hotel.We had a lot more room for Premier King than the Ocean View, but I thought it was good.The default ocean view room is a fantasy, but the room is very narrow.As you all know, the warm hot water 110 meters outdoor pool is fantastic.You don't have to worry in winter.It is rather colder if it is out of water.I was satisfied with the breakfast, the staff were kind, and you were not waiting for check and breakfast.You can see the employees who resident to serve in the lobby.The moment I enter the lobby, my heart comes to mind.I can't take a picture.If you can afford the pockets, it is recommended.",10.0,0.9556
10.0,"Planning this trip to Jeju, Parnas, which was the priority of the hotel .. Compared to CS Hotel, it was finally decided to be Parnas.Room condition was so good and breakfast was better than any other hotel.It was not a sea view, but it was good to enjoy the sea view in the public space.It is a pity that it is unfortunate because of the otitis media of the child, but the swimming pool that can be used free of charge during the stay is very attractive.",11.0,0.9491
10.0,"I was traveling alone because I had a lot of discounts on the Parnas Hotel, but I dared.The hotel was newly renewed in Hyatt, so the overall condition was excellent, and the Infinity pool with the Jungmun sea was so great.Every time I passed by, it was so good that the staff greeted me, and I was the most inspiring among them, and I was waiting for the Limousine of Seogwipo direction 600.He taught me that I shouldn't ride because I was going to try it, and I told you that the bus toward Seogwipo will come and you should take this bus.In some ways, it was a trivial kind, but I was so grateful for the customer, and I thought this kindness was more than five stars.Usually I don't write or write short, so thank you so much.",20.0,0.9901
10.0,"I went with a friend.It's an Asta in the mid -40s, but the room condition is so good and the employees are very friendly.Breakfast-Is it delicious. Please use the breakfast package.Infiniti Pool-I've been healing.The water was warm and the sea was so good. I would like to recommend it as the best hotel.",21.0,0.9888
10.0,"I was busy wandering around without a hoc cance all the time !!!I used to use Parnas because I came to Jeju Island and Jeju Island.It's a prenatal trip, so it's freezing the humidifier air cleaning.The airport bus can also be rides right in front of you, and there is a Soka zone, so we lived at the hotel for a while.It was good.I asked you to come again and come again.even!It's the first time to leave a review",2.0,-0.4672
10.0,"Last year, I used Pond Mer Lounge & Delhi, but I was impressed by the Ocean View and a wonderful building, so I decided this year as Parnas this year.Jungmun Complex Hotel is by far the best!It was an all-hoced that had fun with the bright smiles and kindness of the staff :-)",19.0,0.9847
10.0,"Honestly, I think these kind employees met for the first time.Everyone is always aware of what you are laughing at and asking.Bar restaurant room service concierge is all kind.It was a little Oba, but I wanted to scout the person in charge.Not to mention that the building is clean and pretty.Swimming pool ... the pool is really crazy.It was perfect for water and I went three times for two nights.I heard that I couldn't go anymore.And I think it's a hostel that needs to be better evaluated.I was very grateful that I was able to have a good vacation because of the perfect service.I hope you thrive.",22.0,0.9897
9.6,"I went to the old Hyatt and went to Parnas and decided to go to Parnas and told me that it was fine.It was a good view if it wasn't, but it was hard to check the horizon that the sky and the sea were distinguished.The next day it was raining, but it wasn't clear, but the sea distinction was possible, so if the weather was good.The bathroom side has plenty of bathtubs and toilet booth shower booths, so it seems to give more strength to the bathroom than rooms?It was good to have two cans and two cans in the refrigerator for free in addition to bottled water.Coffee is a Paulbaset pouch coffee, so if you like it, you like it (because it's not a Paulba taste).The slippers in the room are great.It's a non -woven pouch.On the last day, the accommodation was sleeping, so I didn't seem to have a disposable slippers, so I used it in the Grand Chosun the day before.I made a reservation, including breakfast, but I just tasted it.It's not much right, but I was looking forward to breakfast of 70,000 won.If you have a taste of adults, it will be okay.Of course, it doesn't seem to be right to discuss the cost of money in this place.The weather is nice and sitting by the window and eating.We're not late, but the window is fast.And I wasn't interested because I didn't swim, but it was the longest infinity pool in Jeju Island.My husband is also annoying, so I don't swim at the hotel.",32.0,0.9689
10.0,"I chose it because of the pool, but it was a very satisfying hostel.He was really clean and neat for two nights, and all the employees they met were really kind.The overall service was all good.The quality of the restaurant is good, the pool, and the tee is impressive.Thanks to this, I relaxed well.",19.0,0.9787
10.0,"I stayed with the Iset. The breakfast is really satisfactory and the facilities for the child are well -aimed at the family lounge and have a book.I was satisfied with it. I wanted to go. It rained and the weather was not good, but the mini bar full of convenience stores and welcome drinks was provided per day, so I didn't have to go outside.",2.0,0.7679
10.0,"Hygiene Location Kind soundproofing request.All were all the best.The downside is that I used the breakfast lunch, but I hope there is a meal ticket package.",5.0,0.6757
10.0,"The staff are friendly ~ When you first arrive at the hotel door and when you leave after checking out, the concierge staff are very kind and kindly moving to the car. Thank you for helping you.Looking at it, my heart became calm.It's a bit unfortunate that there is a dinner buffet for the weekend ~;I didn't have a dinner buffet because it was a weekday, so I used the nearest Jeju Shilla Hotel The Park View ;;All the rest are satisfied ^^",11.0,0.9281
10.0,"It was a trip with a child, but the English kids club in the hotel is so old that it is difficult to participate.As soon as I entered the pool, I went to the pool, went to sleep, ate the next morning, went to the pool, and went home.The outdoor swimming pool was so good that the weather was good, but it was so good to swim and play.The overall response of the staff was very friendly, and the chicken at the swimming pool was also good.The swimming pool water temperature was higher in the evening, but it was warm, but there was no heating on the sunbed side, so it would be very cold outside the water in winter.",13.0,0.9605
10.0,"It was a very good hotel.Infiniti Pool boasted the longest beautiful view that could not be followed anywhere, and it was very warm and good for the water temperature and night.From the greetings, the staff were kindly treated and greeted in front of the door.It was said that the child was so looking forward to the swimming pool and was swelling with the expectation for the hotel, so it was more enjoyable and expected.Service cleanliness staff attitude was a perfect time.100 % of the doctor.",18.0,0.9787
10.0,"I chose it because I wanted to do it right.There's a warm hot water pool and a jacuzzi, so I was able to keep my body warm every time it was in the middle.The photos taken in the pool seemed like an exotic landscape and luxurious, like the pictures taken abroad.However, the four family members had a narrow bed (single 1 Double 1), so I used a bed (Premier Family: Extra Bed).",6.0,0.7783
10.0,"I had two nights with Parnas Premier Kingped, and I was able to stay two days comfortably because of the very large rooms and terraces.It was very satisfying because the sea was seen in front of the sea.The swimming pool facilities were all convenient and breakfast was satisfactory.",2.0,0.8221
10.0,"The service that moved the carrier directly to the room was so good and the staff were all kind.At the Family Lounge, the children also had a fun time.The convenience store next to it is good, and above all, the view in the room is so good.:)",15.0,0.8953
10.0,"It was a long time to remember the travel of the trip.Infiniti pool is impressive and the quality of breakfast is good enough to eat lunch.The kind of kindness of the staff was so good that it was so tired of traveling.Once again, I think it will be this place.",11.0,0.7944
10.0,"Kindness Room condition is so best.I drank a high ball on the first floor bar, but it's the best.It was not sweet and neat barley shochu high ball, but the taste is not forgotten.I had a clean, fragrant and so good time.The bartender recommended me too well.If you go to Jeju Island, I want to stay in Parnas again.I have a doctor's doctor because of the Barang pool.",17.0,0.1116
10.0,"This year, I can't travel abroad, so I came to enjoy the 6th Jeju Ho Cance with the heart of enjoying Ho -cance.Parnas stood out compared to other luxury hotels.Infinity pools, the longest in Korea, were overwhelming, and the quality of breakfast buffet was also the best.In fact, it was a new opening, so I expected the facilities to be good, and I didn't expect much to expect.I take me to the limousine stop with a friendly smile until the end, and I am so happy to stay so happy thanks to all the staff who welcomed each time I passed by.Only the weather did not help, but I will expect the day to come back in the fall.",29.0,0.9265
10.0,"I was looking forward to talking about the pool in advance, but it was as wide as expected and warm and good.The staff were also kind and satisfied with the facilities.Most of all, the colored beach was connected and it was good to take a walk.",11.0,0.9382
10.0,"It was a satisfactory and happy trip from the moment I arrived to the moment it came out.I couldn't see the guest holding my luggage !!When I moved my baggage and checked out, I made a reservation for a meal.It's very fragrant when you enter the hotel.The accommodation was also very clean and spacious, and I didn't expect the view, but it was a very good place.I think I was good at going to Hokans to the Parnas Hotel.You can even see Netple Teabing with Chromecast !!I really wanted to live there…I recommend it too much.Confetti rice is also delicious !!!",17.0,0.9754
10.0,"The Parnas Hotel, which was brought to Jeju, which was brought by my mother, was a magnificent and sophisticated accommodation that my mother felt overwhelming.Hotels are important, but it's a new experience.In order to give such a new experience, Parnas seems to have been the best choice.",10.0,0.899
10.0,It was more than expected because it was able to brighten the room lighting and the overall openness and terrace of the manga carpet in the sofa area.I want to visit Hokangsrojae without renting the airport bus stop on the first floor of the hotel.Swimming pool breakfast,0.0,0.5267
