score,comment,afinn_score,vader_score
10.0,"This is the second visit.If you open the window, you can see Seongsan Ilchulbong and sit and see the sunrise.The staff were kind and the pool was operated in November, so I thought of a property.Of course, it was a pity that the water was cold and the weather was cold.If the day is good (the wind regards), even if you don't swim, it's a good idea to have a barbecue.The bed is so cozy and good.I bought a beer, but I couldn't eat and fell asleep and it was very refreshing.I opened it to know where the brand bed was, but I failed to know ^^ It was hot in front of the road.I must talk about water pressure, and the shower water pressure was the best in Jeju travel.I praise the mosquito patch on my body.I will visit again next time.really!!!The breakfast is really good, so be sure to eat it.It costs 12,000 won to 16,000 won per meal, so be sure to eat at the hotel in the morning.Very strong and good composition.The restaurant is viewed by Seongsan Ilchulbong Peak.Wow, I liked it so much ...",31.0,0.9916
10.0,"It was a place I saw with my eyes every time, but it was really crazy for the price.So good!Everything was perfect. The breakfast is delicious and the staff are as kind as angels.(The most kind people are two women on the pool on the rooftop!) Thanks to them two women, I was impressed by the impression ...",16.0,0.9829
10.0,The stylish and clean room is looking at the mountains of Seongsan and you can see the sunrise.There are many small restaurants near the hotel and a nice bakery two minutes away.It is strongly recommended to stay here.,7.0,0.8126
10.0,"The hotel is so clean and good !!The staff in the front of the front was completely kindly responded. We just reserved a regular double room, but I was upgraded to use the room to use it comfortably ?ㅠ I was so impressed with it.I've been listening to a horse ?ㅋ ?ㅋ??I was upgraded to a room with a king size bed, but the bridegroom was lying down and squeezing it.I couldn't eat it immediately ?ㅠ ??I didn't have a dream and slept with my dream.There was a breakfast, so it was better to eat while looking at Seongsan Ilchulbong.I stayed for 1 night and was completely satisfactory^.^",14.0,0.9417
10.0,"The room is a bit narrow but clean and the location is good.It is the best accommodation to experience the sunrise of Seongsan Sunrise Peak.Breakfast buffets are so delicious, a lot of types and good value for money.Please apply for it ~ Vegetables/Chicken/Beef meat/Seaweed soup/yogurt/ice cream/fruit.",15.0,0.9774
10.0,"It was the best accommodation for upgrading the room.The parking was located in the basement only when I went to the day, and when I went out and entered the evening, I thought it would be located to one side.But the car that foreigners drove to park in a breathtaking place underground.It was a bit absurd, but I couldn't help it because it was not good.And the parking lot right behind the hotel in many blogs is paid.Others are good.The staff are kind and the convenience store on the first floor is until 1 am.The view was the best, so I didn't go to the sunrise in the morning and it was a happy accommodation in many ways.",19.0,0.9593
10.0,"The location is good and the view is good. The breakfast is well-equipped with only the things you need.I heard it ?ㅋ It wasn't unkind feeling, but it was okay.",7.0,0.6865
10.0,"Despite the weekend, this amount is very satisfying.The staff were kind and breakfast was good.This is the number one of the three in Jeju.",5.0,0.5719
10.0,"There was no abalone porridge in breakfast ... that was so delicious ... I couldn't eat it. The breakfast came out clean .. Canned pineapple .. 17,000 won, but it was easy to eat.I don't know how to use it, but the air conditioner couldn't work separately. The staff were all kind.",10.0,0.9315
10.0,"1. The friendly attitude of employees and the high -end response 2. It is more convenient because there is a convenience store. 3. The latest facilities are this much.The only disadvantage is the parking lot?However, if you are full, it was good because the kind of gentle uncle explained the parking lot behind the hotel.It was even better and I spilled a lot of things, but thank you especially thank you.There are many hotels on Seongsan.Just before I stayed in The Best, it seemed to be better and more convenient.I recommend it.",16.0,0.9769
