,score,comment
0,10.0,"I first visited my family trip, but I was so satisfied with my first visit.Room condition is very good, breakfast dinner buffet is also satisfied, and the surrounding landscape is very peaceful."
1,10.0,"Latek's cleaning status swimming pool cafe
Everything in the hostel, etc.
Everything was so good
The bed and bedding are so good that the whole family is really
I had a good night's sleep
The bathroom was also spacious, so it was so convenient to use
Eating breakfast and dinner while watching a pretty lake
Swimming all day in warm water
This is an eco -land hotel that is so satisfying.
I bought Yogojogo at the gift shop
It is never written because it is a hotel
Thank you so much for taking care of the service 👍🏻
If you go to Jeju, I think I'll use it again next time 😊"
2,10.0,"I opened it in 2022 and I wanted to go to the hotel as a photo.I thought it was a luxury hotel of white walls and red roofs.The morning time is also tight, so I couldn't see the hotel.
I want to visit again with my family
The room was so good. Thank you
It was a long time in my trip."
3,10.0,"It was a hostel that I chose as a prenatal trip, but I also upgraded the room and gave it to the room as close to the swimming pool.
I was so satisfied.
It was really good to upgrade.
It was a garden view, but there was a large tree and grass in front of you
I felt healed just by looking at it.
The bed and bedding are so soft and good, and when the heating is turned on, the floor becomes hot.
The bathroom bathroom shower room is spacious and the shape of the wall is unusual
I really felt like I was abroad haha
And one of the reasons for choosing this accommodation
It was so pretty and good.
Infinite grass, so you can see the mountain right in front of you
Bali?It felt the same and the water was warm.
The mountain view in the pool was good, but the view of the accommodation was so pretty.It was good with a different feeling in the morning and evening.
It was a little chilly in the evening, but after swimming, I stopped by the jjimjilbang.
I want to visit again later when I was born with my parents.
Breakfast dinner buffet is a bit expensive, but
It was easy to eat.
And there are many people who repair, clean, and manage the hotel early in the morning, on weekdays.
So I felt that the hotel was clean and well managed.
The manager is also kind, and the Desk staff were so kind.
It was a very satisfactory accommodation for two nights and three days."
4,10.0,"Arrived in Jeju, sightseeing and staying around 19 o'clock.
When I go towards it, it is dark and drove the mountain road
It was difficult, but I checked in and was assigned a Double Bed Tonbang on the 3rd floor.
The lobby goal is clean and the staff are friendly
When I enter the room, it's clean, bedding and curtains
The interior is pretty
I like the bedding that I care about
The toilet is also clean, so I feel upset.
With a cup of tea in the morning, Halla Mountain View
I enjoyed the garden view
It is a place I want to visit again"
5,10.0,"I played well in Eco Land and wanted to see the night lights, so I chose the hostel as a place in Ecorand.There is a course that is connected directly from the Eco -Land accommodation, but I didn't know it and went to the Eco Land ticket office .. ;;
The accommodation is white, so it feels exotic and good.However, my parents had a hard time because they had to walk quite a bit to use amenities.If you go with your parents, you may want a room that is more convenient to use it than a view.It's hard to walk, so give up breakfast.Because you have Yonsei ㅠ
But my parents liked it.It's a place with nature, so I've been relaxing well ~"
6,10.0,"I had two nights with my wife
All of the staff were so kind
Room condition swimming pool is the best
Kesle -dong was a hotel and went down to the pool!Once the adult pool was divided separately, it was the best to be able to swim in different spaces with young children.
It rained often, but the water was lukewarm, so it wasn't cold and it was good.
The smoking room came out of the lobby and went to the left corner.
It will be used again during the trip to Jeju.
The staff are so kind !!"
7,10.0,"It is a 5 -star hotel that is completely beautiful and comfortable, but the hotel breakfast that you want to stay with a quiet, comfortable, comfortable, and satisfied hotel Jeju is good for the price, and the employees are completely kind and want to go to Europe."
8,10.0,"I think the influence of the accommodation in the trip is great.
I have come to Jeju Island a lot, but it was a hotel that gave me a feeling of overseas.The facilities were so good that it was time to enjoy only in the hostel, and the condition was so good and the staff were so kind.
Next time, I wanted to come with my parents, so I said everything."
9,10.0,The staff are so kind to the swimming pool kids cafe that the child is so friendly.
10,10.0,"It is a hotel with a natural theme and a relatively low floor, so it is good for family trips, but it was too good for a couple in their mid -20s.
The room condition was good, the kindness was good, and the ballet or the ballet
I feel comfortable with the inside/outside cleanliness
I enjoyed a recreation 👍"
11,10.0,"The room inside the room was clean and there was no noise between rooms.It is convenient to enter the Eco Land because there is a channel to enter the eco -land at the hotel.However, if you are assigned to the room outside the batch, you have to walk for a long time in the lobby, and the building structure is similar while the building is similar, so you can get lost or wander."
12,10.0,"Rolling in the hotel
The purpose of the pool is the purpose of the pool
If you check in, you will receive a hotel manual.
It looks complicated and difficult
If you are a shaving, it is connected
There is also a rest area with a laptop laundry room.
Long gown two short areas
There was a lot of towels
There are three slippers (like non -woven Pocheon)
There is also a safe
3 bottled water in the refrigerator
There is a mini drying rack in the room
There is a dehydrator in the dressing room of swimming pool
There is a bakery restaurant convenience store in the basement
There is a microwave next to the convenience store
There were many wonderful works in the underground gallery
Try to look around
Because we were 2 nights
The first evening went to the nearby jungle and packed it and ate it.
The next day, lunch is a bowl and a half -class
Dinner is a dinner buffet
It was expensive but petrified.Crab. Oyster. Shrimp.Defense Association, etc.
The fresh sashimi was good
Steak was also worth eating
It's expensive to buy one
Trevi is 3,000 won
Do your last night
If you want to stay in the hotel
Live a drink beer
I recommend coming in
We packed dinner and ate it, but it was good"
13,10.0,"It was a hotel that I accidentally stayed while watching the Eco -Land Theme Park, but it was the place where I was satisfied with the best.It was a lot of money and the swimming pool was available for free until night."
14,10.0,"You can also ride the shuttle, so you can go to the theme park without renting, but you have to be good enough, and most of all, the pool view was good.It's just a problem because the wall materials are hard.Isn't it going to be overwhelmed by scratching the walls later?I thought it was bloody even if I really passed by.But the accommodation is really wide and there's something inside.There is no franchise in the convenience exhibition, and it is operated with a souvenir shop inside.Everyone was good for the service and a lot of buffet food.The dessert is delicious, so leave a dessert."
15,10.0,"Throughout the lodgings, I only went to eat because I didn't have time to enjoy the night opening of Eco Land and the forest tour pool.Of course, breakfast is good for the price!The location was good and the new construction was clean and the bedding was good.There may be a little longer line from the lobby to the room, so if you have children or your parents, you may want to ask for a nearby room!I think it would be nice to enjoy it with my family!I recommend it :)"
16,10.0,"Two days during my trip to Jeju, I went to Eco Land in the mountains in front of the sea!As soon as I entered Eco -Land, my family is surprised by the size of the hotel, and I am so satisfied with the beautiful interior swimming pool dinner buffet.Everyone in the staff was so kind and it was a hotel that was so friendly ^^ I think the pool is the best in Korea."
